originfips,adjacentfips
1001,1021
1001,1047
1001,1051
1001,1085
1001,1101
1003,1025
1003,1053
1003,1097
1003,1099
1003,1129
1003,12033
1005,1011
1005,1045
1005,1067
1005,1109
1005,1113
1005,13061
1005,13239
1005,13259
1007,1021
1007,1065
1007,1073
1007,1105
1007,1117
1007,1125
1009,1043
1009,1055
1009,1073
1009,1095
1009,1115
1009,1127
1011,1005
1011,1087
1011,1101
1011,1109
1011,1113
1013,1035
1013,1039
1013,1041
1013,1085
1013,1099
1013,1131
1015,1019
1015,1029
1015,1055
1015,1115
1015,1121
1017,1081
1017,1111
1017,1123
1017,13145
1017,13285
1019,1015
1019,1029
1019,1049
1019,1055
1019,13055
1019,13115
1019,13233
1021,1001
1021,1007
1021,1037
1021,1047
1021,1051
1021,1105
1021,1117
1023,1025
1023,1091
1023,1119
1023,1129
1023,28023
1023,28075
1023,28153
1025,1003
1025,1023
1025,1091
1025,1099
1025,1129
1025,1131
1027,1029
1027,1037
1027,1111
1027,1121
1027,1123
1029,1015
1029,1019
1029,1027
1029,1111
1029,1121
1029,13045
1029,13143
1029,13233
1031,1039
1031,1041
1031,1045
1031,1061
1031,1109
1033,1059
1033,1077
1033,1079
1033,28141
1035,1013
1035,1039
1035,1053
1035,1099
1037,1021
1037,1027
1037,1051
1037,1117
1037,1121
1037,1123
1039,1013
1039,1031
1039,1035
1039,1041
1039,1053
1039,1061
1039,12091
1039,12131
1041,1013
1041,1031
1041,1039
1041,1085
1041,1101
1041,1109
1043,1009
1043,1079
1043,1095
1043,1103
1043,1127
1043,1133
1045,1005
1045,1031
1045,1061
1045,1067
1045,1069
1045,1109
1047,1001
1047,1021
1047,1085
1047,1091
1047,1105
1047,1131
1049,1019
1049,1055
1049,1071
1049,1095
1049,13055
1049,13083
1049,13295
1051,1001
1051,1021
1051,1037
1051,1087
1051,1101
1051,1123
1053,1003
1053,1035
1053,1039
1053,1099
1053,12033
1053,12091
1053,12113
1055,1009
1055,1015
1055,1019
1055,1049
1055,1095
1055,1115
1057,1075
1057,1093
1057,1107
1057,1125
1057,1127
1059,1033
1059,1079
1059,1093
1059,1133
1059,28057
1059,28141
1061,1031
1061,1039
1061,1045
1061,1069
1061,12059
1061,12063
1061,12131
1063,1065
1063,1091
1063,1107
1063,1119
1063,1125
1065,1007
1065,1063
1065,1091
1065,1105
1065,1125
1067,1005
1067,1045
1067,1069
1067,13061
1067,13099
1069,1045
1069,1061
1069,1067
1069,12063
1069,13099
1069,13253
1071,1049
1071,1089
1071,1095
1071,13083
1071,47051
1071,47115
1073,1007
1073,1009
1073,1115
1073,1117
1073,1125
1073,1127
1075,1057
1075,1093
1075,1107
1075,28087
1075,28095
1077,1033
1077,1079
1077,1083
1077,28141
1077,47055
1077,47071
1077,47099
1077,47181
1079,1033
1079,1043
1079,1059
1079,1077
1079,1083
1079,1103
1079,1133
1081,1017
1081,1087
1081,1113
1081,1123
1081,13145
1081,13215
1083,1077
1083,1079
1083,1089
1083,1103
1083,47055
1083,47103
1085,1001
1085,1013
1085,1041
1085,1047
1085,1101
1085,1131
1087,1011
1087,1051
1087,1081
1087,1101
1087,1113
1087,1123
1089,1071
1089,1083
1089,1095
1089,1103
1089,47051
1089,47103
1091,1023
1091,1025
1091,1047
1091,1063
1091,1065
1091,1105
1091,1119
1091,1131
1093,1057
1093,1059
1093,1075
1093,1127
1093,1133
1093,28057
1093,28095
1095,1009
1095,1043
1095,1049
1095,1055
1095,1071
1095,1089
1095,1103
1097,1003
1097,1129
1097,28039
1097,28041
1097,28059
1099,1003
1099,1013
1099,1025
1099,1035
1099,1053
1099,1131
1101,1001
1101,1011
1101,1041
1101,1051
1101,1085
1101,1087
1101,1109
1103,1043
1103,1079
1103,1083
1103,1089
1103,1095
1105,1007
1105,1021
1105,1047
1105,1065
1105,1091
1107,1057
1107,1063
1107,1075
1107,1119
1107,1125
1107,28087
1107,28103
1109,1005
1109,1011
1109,1031
1109,1041
1109,1045
1109,1101
1111,1017
1111,1027
